timestamp,ping,download,upload
1615692563797.62,33.03,18.88,7.77
1615692689157.16,36.29,21.97,4.58
1615692805972.852,38.06,26.58,8.93
1615692928295.536,37.44,26.3,7.92
1615693044398.265,42.98,25.23,8.3
1615693170985.366,40.84,16.37,5.97
1615693295197.648,32.59,17.73,8.39
1615693404407.934,39.7,25.79,8.52
1615693528337.482,37.44,22.36,6.01
1615693643767.97,37.68,21.42,7.93
1615693766464.301,35.84,20.75,8.22
1615693886341.007,32.21,24.26,8.12
1615694003807.276,33.48,20.51,8.49
1615694123470.845,36.95,18.95,8.63
1615694243615.376,37.07,21.29,8.65
1615694366111.066,36.9,24.07,8.1
1615694483466.234,37.3,18.71,7.7
1615694608421.225,34.72,26.31,5.64
1615694727182.24,37.0,23.4,8.15
1615694843298.624,34.46,20.26,8.67
1615694963837.034,38.34,22.24,8.64
1615695086198.169,39.72,25.6,8.74
1615695212120.136,32.61,18.38,4.89
1615695326887.243,35.38,22.69,8.48
1615695443530.668,38.68,28.06,8.39
1615695565118.346,62.52,22.41,7.92
1615695693236.296,42.33,16.85,5.11
1615695803466.513,38.11,25.04,8.93
1615695925137.136,56.31,17.3,7.4
1615696043418.603,33.73,26.54,9.31
1615696165446.28,50.84,24.68,7.72
1615696283783.989,56.47,19.05,7.75
1615696406390.601,46.94,20.38,8.47
1615696525839.24,36.23,21.74,8.92
1615696650630.341,32.5,26.58,5.17
1615696763162.848,33.99,25.87,7.85
1615696887667.739,43.03,17.5,7.04
1615697005685.766,36.63,23.72,8.74
1615697127853.28,45.52,25.12,7.6
1615697244244.173,38.29,28.38,7.87
1615697366776.323,49.0,24.58,8.15
1615697484131.418,48.51,24.59,7.94
1615697604170.645,48.02,21.68,7.35
1615697724197.347,35.89,24.39,8.08
1615697847876.635,59.63,23.65,8.61
1615697963303.521,38.65,28.64,8.36
1615698083772.095,59.44,23.88,7.83
1615698203831.208,34.51,25.96,8.52
1615698323904.225,47.14,25.43,7.98
1615698444965.046,45.2,26.17,8.14
1615698569014.981,36.01,26.14,5.56
1615698683861.052,34.66,22.42,7.8
1615698805186.067,34.55,17.79,8.14
1615698924436.262,46.13,25.5,8.33
1615699049406.83,40.82,18.69,2.48
1615699183963.82,43.62,24.47,7.18
1615699284185.485,37.65,27.84,7.89
1615699406733.183,57.55,23.67,8.06
1615699524125.264,42.33,26.27,8.39
1615699643841.017,34.34,19.33,8.72
1615699764979.013,39.48,24.47,6.58
1615699890378.967,36.03,21.17,6.76
1615700004672.84,48.88,25.03,8.48
1615700124086.014,53.96,22.94,7.89
1615700243935.117,35.66,22.78,8.11
1615700364568.443,38.02,25.52,8.0
1615700488872.863,44.7,13.75,7.25
1615700605031.997,53.8,19.25,7.57
1615700723969.278,47.86,21.83,8.29
1615700844599.116,53.65,18.88,8.27
1615700965487.535,49.68,18.97,8.34
1615701087147.082,34.43,24.2,7.97
1615701205055.831,47.73,26.33,7.74
1615701326549.873,37.24,25.5,8.7
1615701447229.755,37.91,20.1,6.54
1615701564424.937,47.87,26.32,8.63
1615701687056.058,52.2,18.76,7.87
1615701804602.832,38.95,22.06,8.18
1615701923745.872,36.3,27.45,7.49
1615702043587.414,34.73,22.91,8.64
1615702163828.759,37.41,25.51,8.42
1615702284119.27,48.56,24.81,7.67
1615702405354.755,50.95,24.14,8.04
1615702525262.419,53.54,27.19,8.37
1615702647737.494,50.74,18.51,6.13
1615702767755.518,55.17,18.44,8.55
1615702884288.669,49.6,22.83,8.08
1615703004273.708,52.05,26.45,8.12
1615703123601.646,40.2,21.47,8.08
1615703244046.765,39.36,28.19,7.64
1615703365536.889,52.47,16.27,8.53
1615703485252.647,35.24,27.0,7.83
1615703608720.48,35.91,20.22,7.5
1615703729269.725,60.32,23.41,7.85
1615703844105.216,36.32,24.59,8.11
1615703965040.556,57.02,26.64,8.14
1615704087884.228,36.87,21.48,5.43
1615704206180.771,35.64,20.94,7.52
1615704336731.102,40.39,24.7,4.2
1615704455345.483,34.72,22.61,5.36
1615704565364.941,46.42,20.35,8.65
1615704686340.744,53.04,23.4,7.57
1615704804106.657,52.16,22.9,8.59
1615704925437.817,59.8,20.45,7.95
1615705044108.584,46.26,24.11,8.45
1615705164634.571,55.94,21.6,8.05
1615705284197.835,36.09,25.36,7.67
1615705405162.529,50.3,26.88,7.49
1615705526745.329,43.5,23.1,7.56
1615705649623.637,51.08,22.83,8.23
1615705772012.135,47.05,13.69,3.21
1615705885679.771,36.77,25.97,7.08
1615706008083.584,50.41,17.24,8.8
1615706126032.943,38.56,25.65,8.56
1615706244269.381,47.57,24.36,8.21
1615706365902.894,38.0,16.83,7.86
1615706485652.106,37.95,25.85,5.9
1615706604932.853,37.72,21.89,7.99
1615706723821.743,35.29,25.21,8.21
1615706844784.359,48.19,23.66,7.96
1615706965367.341,50.07,21.45,8.05
1615707084901.889,45.88,20.93,8.79
1615707204229.372,35.11,25.65,7.78
1615707328308.737,35.78,23.25,6.69
1615707444509.22,35.24,25.26,8.24
1615707569616.684,49.07,23.26,7.38
1615707685266.556,37.49,25.07,8.42
1615707804342.621,49.43,24.51,8.26
1615707924322.997,37.1,23.36,8.14
1615708047502.981,48.34,26.26,7.92
1615708167315.076,52.3,23.04,8.3
1615708283968.677,36.32,27.51,8.34
1615708404912.846,37.73,20.77,7.85
1615708529044.674,34.71,25.34,6.24
1615708644102.778,38.42,19.36,8.22
1615708766274.724,51.97,15.68,6.05
1615708883976.688,34.35,25.1,8.98
1615709004770.232,52.17,24.01,7.74
1615709126893.591,38.82,22.64,6.41
1615709244558.058,52.02,26.8,8.34
1615709364123.978,52.6,25.72,8.83
1615709484504.103,52.98,24.69,7.96
1615709603896.943,40.96,18.06,8.2
1615709723539.722,52.15,26.47,9.27
1615709842972.853,38.07,26.76,8.72
1615709963252.155,52.09,27.18,8.47
1615710087128.848,34.24,26.03,6.33
1615710204344.274,34.26,24.13,7.42
1615710324395.317,35.22,24.27,8.56
1615710449279.378,43.15,16.46,4.66
1615710563815.953,46.91,22.71,7.42
1615710687489.812,36.62,21.95,6.06
1615710806061.887,53.39,21.02,8.52
1615710923073.756,37.06,24.0,9.11
1615711043484.748,47.74,28.54,7.59
1615711173242.771,73.36,15.99,8.33
1615711285855.33,60.03,10.17,6.64
1615711408059.982,75.19,19.24,8.31
1615711525972.633,56.83,21.59,8.15
1615711650665.275,44.76,13.15,8.4
1615711763489.06,52.38,24.73,8.28
1615711885733.502,36.93,21.08,8.82
1615712004257.915,35.29,23.9,7.62
1615712123445.281,38.09,27.95,9.35
1615712246639.686,49.78,22.71,7.7
1615712367299.126,39.61,15.4,6.71
1615712483398.391,52.23,23.53,8.41
1615712605547.366,52.83,21.03,8.12
1615712729392.313,52.08,22.08,8.51
1615712846396.817,56.74,18.01,8.21
1615712963575.124,56.6,21.02,8.31
1615713086097.615,32.75,18.86,8.26
1615713203455.93,45.37,20.53,8.72
1615713331806.267,34.94,22.13,4.94
1615713443312.053,32.87,25.99,8.46
1615713563337.897,37.69,26.37,4.91
1615713686090.152,35.74,22.31,8.35
1615713803866.363,51.88,23.54,8.74
1615713923689.32,42.65,21.9,9.14
1615714046769.343,62.99,22.8,8.17
1615714163137.48,39.52,25.35,7.29
1615714284075.998,53.53,19.76,8.07
1615714403238.152,46.93,24.45,8.59
1615714523519.841,47.96,25.65,8.22
1615714643445.642,32.97,23.3,8.72
1615714764427.984,34.71,22.06,7.79
1615714883450.298,39.27,26.67,6.45
1615715004006.397,34.8,23.82,7.44
1615715130439.207,31.96,23.06,9.24
1615715244529.088,45.3,16.94,8.14
1615715364275.552,54.42,16.6,8.6
1615715490800.809,45.91,23.25,6.0
1615715617162.437,44.69,30.52,8.43
1615715736154.708,62.91,21.67,7.21
1615715917444.437,31.88,19.83,8.33
1615715963647.943,47.51,19.55,3.74
1615716084350.723,38.09,22.62,8.14
1615716203605.136,49.18,19.22,8.95
1615716324516.274,34.57,21.51,7.57
1615716443337.457,38.71,25.34,8.73
1615716569831.127,35.42,24.39,5.18
1615716683512.334,36.56,23.92,8.68
1615716803825.477,34.55,21.85,8.95
1615716922986.25,36.43,23.65,9.13
1615717043548.903,45.56,25.01,8.92
1615717166481.839,49.23,20.23,5.58
1615717291034.02,34.34,13.34,7.99
1615717405174.678,48.57,21.55,7.33
1615717523343.611,38.69,22.77,9.09
1615717643510.9,46.64,22.66,5.87
1615717763542.345,43.19,25.53,7.03
1615717883080.91,34.96,22.93,9.02
1615718005809.339,44.96,23.48,8.76
1615718124808.485,45.17,22.39,8.37
1615718244339.174,51.25,25.61,8.38
1615718363379.046,48.43,22.44,8.57
1615718483364.303,29.74,24.55,7.64
1615718603013.637,33.31,21.18,8.52
1615718723626.782,38.42,25.42,7.79
1615718843613.987,48.0,24.0,8.4
1615718963383.228,51.02,25.26,7.42
1615719083196.637,36.88,25.13,9.49
1615719204784.565,47.9,24.5,6.6
1615719323661.02,56.87,23.11,8.74
1615719443751.156,35.56,22.56,8.23
1615719565558.383,46.64,24.27,5.33
1615719683778.948,44.63,25.09,6.72
1615719808916.757,53.31,20.76,4.39
1615719927215.762,35.9,23.53,6.15
1615720045428.189,51.53,20.07,8.66
1615720164116.953,47.39,24.17,6.61
1615720283758.493,46.31,22.26,8.49
1615720403970.66,48.24,22.3,7.86
1615720523560.065,47.11,22.94,8.91
1615720647885.516,38.25,22.33,5.68
1615720764478.112,37.16,20.31,8.49
1615720883443.1,38.06,22.41,8.04
1615721004678.563,48.52,18.14,7.86
1615721123625.208,47.55,25.05,8.6
1615721248161.806,34.21,15.29,4.22
1615721363342.397,34.43,21.11,6.03
1615721500912.867,46.24,12.06,3.62
1615721605820.458,42.57,21.93,5.02
1615721723226.047,34.41,23.76,8.74
1615721845312.653,31.41,26.03,6.14
1615721974972.685,40.9,13.41,4.68
1615722096315.053,34.85,18.98,6.12
1615722203865.132,36.91,22.44,8.46
1615722323849.44,35.02,23.99,8.02
1615722444279.449,46.61,22.96,7.48
1615722564001.186,49.73,24.99,8.43
1615722684690.058,45.9,21.53,7.23
1615722804852.917,46.23,17.91,6.34
1615722923543.192,42.03,23.26,9.41
1615723052202.524,45.01,13.13,2.9
1615723174575.132,33.93,20.5,8.36
1615723291083.241,33.95,21.86,4.83
1615723404242.032,36.21,23.51,8.65
1615723525237.625,48.71,22.03,8.2
1615723643543.884,33.32,24.36,8.88
1615723763209.545,35.14,23.3,8.71
1615723887490.36,48.84,23.53,6.36
1615724003369.893,36.84,23.64,8.23
1615724126350.098,46.36,22.74,8.65
1615724243479.183,47.72,23.37,8.92
1615724365310.94,36.26,20.53,7.54
1615724484390.243,36.73,20.35,7.5
1615724604973.861,36.39,24.26,7.16
1615724723188.324,37.35,21.09,8.68
1615724845325.068,50.06,20.31,7.11
1615724965857.843,47.47,21.34,6.95
1615725083512.963,46.04,23.18,8.96
1615725205368.384,32.99,17.06,7.39
1615725328313.484,32.5,23.17,6.35
1615725443666.34,50.02,26.43,8.67
1615725563384.183,32.89,25.46,8.85
1615725687076.176,49.24,22.37,8.72
1615725803478.404,46.51,23.04,8.96
1615725924982.555,48.88,23.41,7.63
1615726043154.516,34.96,24.5,4.97
1615726164626.114,36.26,23.05,8.24
1615726283574.163,37.27,22.16,8.88
1615726406625.792,44.97,22.41,5.78
1615726524263.41,40.11,19.22,8.45
1615726646625.572,50.75,22.42,7.05
1615726763763.951,35.1,23.99,8.95
1615726883741.912,50.76,24.82,9.16
1615727003815.658,55.11,21.31,8.92
1615727123674.546,35.38,20.46,2.87
1615727243900.98,49.72,24.97,8.6
1615727363727.032,45.07,20.77,8.95
1615727483331.897,36.89,22.78,8.95
1615727604302.76,39.36,22.73,8.02
1615727724817.769,34.99,23.96,7.92
1615727843447.135,39.12,22.67,9.38
1615727964189.0,40.31,22.57,8.57
1615728083337.706,37.31,23.31,9.45
1615728209262.675,39.84,13.75,4.96
1615728323440.861,39.12,25.22,8.39
1615728443281.637,34.82,22.99,9.31
1615728573979.334,35.18,14.58,6.15
1615728683431.062,37.01,18.77,8.85
1615728810182.927,34.49,16.81,6.05
1615728924970.275,40.66,24.96,7.57
1615729047183.226,33.89,24.42,6.79
1615729163679.581,35.56,23.37,8.63
1615729284668.962,36.7,23.38,7.58
1615729411928.552,35.11,22.28,5.15
1615729523590.846,32.42,25.92,8.85
1615729644053.993,37.38,18.37,7.85
1615729763536.286,37.26,22.7,7.75
1615729883323.333,33.09,24.8,8.67
1615730003765.501,36.06,23.57,5.58
1615730123783.403,37.11,23.69,2.92
1615730243407.452,35.88,15.03,9.42
1615730363608.537,39.37,20.62,9.02
1615730483461.235,39.9,25.92,9.14
1615730608785.045,36.27,23.91,5.94
1615730723809.304,43.1,20.54,2.43
1615730843485.666,35.93,21.78,9.43
1615730973421.666,42.92,10.37,3.32
1615731086804.669,38.15,13.11,8.81
1615731212507.655,35.91,22.14,4.41
1615731328063.79,38.57,24.15,6.25
1615731447319.661,36.45,16.42,9.19
1615731564276.749,36.36,24.05,8.09
1615731683463.768,38.03,26.51,9.1
1615731803868.972,37.76,24.67,8.46
1615731923879.032,40.34,23.58,9.28
1615732047162.5,39.52,16.35,3.73
1615732167614.961,38.22,23.25,8.5
1615732283597.742,42.57,25.1,9.35
1615732403768.222,38.05,18.88,8.99
1615732523650.213,38.68,20.95,8.86
1615732643562.449,40.23,25.86,9.31
1615732763575.782,39.55,23.4,9.85
1615732889233.626,38.03,25.94,6.35
1615733003681.994,34.25,25.04,9.52
1615733125282.494,38.93,24.41,7.24
1615733245027.489,36.33,24.45,8.77
1615733363678.939,35.53,24.29,9.0
1615733484819.647,44.78,21.77,9.32
1615733603505.229,38.45,17.45,7.88
1615733726161.8,34.02,23.98,8.55
1615733856142.521,43.42,12.82,3.81
1615733974784.037,37.86,22.33,7.89
1615734084070.536,37.67,25.96,8.83
1615734203611.864,32.62,24.92,9.38
1615734328465.202,43.8,22.93,6.23
1615734451248.316,38.07,14.36,9.48
1615734566291.942,40.71,14.39,9.7
1615734686910.769,39.87,26.49,6.52
1615734803510.071,38.7,22.31,4.56
1615734925729.233,39.12,16.35,9.32
1615735043774.21,36.8,21.43,9.59
1615735166616.957,38.56,19.35,8.75
1615735284226.836,36.3,24.65,8.55
1615735408205.976,34.41,26.21,5.74
1615735524810.015,36.81,19.3,8.5
1615735644963.91,44.56,19.78,3.31
1615735774776.746,36.06,20.61,8.89
1615735888514.294,35.47,24.83,3.89
1615736004160.954,36.23,24.17,9.02
1615736124622.335,36.47,24.7,7.97
1615736246583.308,42.28,22.59,8.46
1615736363816.905,34.71,17.83,9.02
1615736489818.204,42.81,25.94,5.84
1615736603622.503,37.47,20.4,9.21
1615736723517.09,36.63,24.29,9.42
1615736843813.736,35.45,25.76,8.96
1615736963559.717,36.57,22.46,9.59
1615737084090.623,39.76,25.28,8.74
1615737205531.144,38.43,26.2,7.18
1615737327393.058,35.41,24.11,6.98
1615737444528.751,34.0,19.15,9.04
1615737563588.355,34.67,21.74,9.53
1615737684700.823,34.68,19.24,8.32
1615737803645.912,39.41,23.59,9.71
1615737923781.919,35.54,25.47,9.48
1615738044017.219,34.79,23.04,8.98
1615738163735.792,37.35,20.64,9.04
1615738283701.058,35.83,26.69,9.25
1615738404095.396,34.71,22.56,9.29
1615738523916.523,35.91,21.61,9.25
1615738643940.172,37.26,24.95,8.8
1615738764113.712,38.93,23.58,8.39
1615738883617.471,37.48,24.87,9.05
1615739004601.765,46.37,19.02,8.39
1615739126224.929,48.15,22.42,8.5
1615739245734.416,45.52,21.52,9.59
1615739365890.269,47.11,25.1,8.16
1615739483937.022,39.77,26.83,9.48
1615739607160.967,38.81,27.16,6.99
1615739725342.236,48.87,25.19,8.46
1615739845163.415,44.31,23.97,6.46
1615739966578.118,38.52,21.03,4.91
1615740084246.982,46.7,22.95,7.15
1615740205177.727,41.46,27.02,7.56
1615740326858.638,45.23,21.92,9.47
1615740442906.01,36.92,23.54,8.88
1615740566878.455,49.63,23.21,6.41
1615740683430.368,35.85,26.01,8.35
1615740803235.331,47.14,23.91,9.09
1615740922953.339,35.78,22.01,9.21
1615741045270.698,48.86,18.93,6.71
1615741163605.541,52.3,22.68,7.17
1615741282928.307,37.09,27.02,9.29
1615741402991.011,36.32,23.97,9.23
1615741523730.716,50.15,22.67,7.56
1615741643091.602,50.47,24.74,8.95
1615741765059.739,49.51,23.8,9.06
1615741883856.763,50.12,25.01,7.43
1615742003404.099,51.25,22.52,9.04
1615742123138.647,37.66,23.53,9.22
1615742243561.87,36.56,22.38,8.94
1615742366190.928,48.02,18.06,6.57
1615742482873.534,38.26,25.49,9.74
1615742604335.972,51.25,23.55,7.21
1615742723619.768,38.03,19.47,8.37
1615742843394.783,49.34,20.25,6.12
1615742963108.755,37.15,21.69,8.98
1615743085678.066,39.16,18.08,9.07
1615743205661.199,34.04,20.24,8.81
1615743323999.26,44.11,22.74,8.34
1615743443579.341,45.78,23.02,5.73
1615743567848.147,52.31,21.72,8.34
1615743684786.086,41.81,21.94,8.62
1615743803582.367,39.67,21.76,8.54
1615743929156.298,37.11,23.83,5.35
1615744045968.032,47.1,23.04,6.91
1615744163747.86,49.83,19.33,6.88
1615744284676.924,47.59,25.42,8.67
1615744403742.672,34.71,22.08,8.78
1615744526708.941,36.21,22.54,6.74
1615744643574.602,44.09,25.83,8.77
1615744768784.201,36.0,14.34,8.93
1615744883247.239,34.73,21.49,9.31
1615745004472.608,48.9,23.41,7.0
1615745123516.45,39.7,24.4,8.54
1615745245642.866,45.5,20.91,7.39
1615745363278.838,36.99,20.77,9.29
1615745486535.545,51.11,21.88,8.59
1615745606186.887,46.68,22.23,7.16
1615745723324.625,34.76,25.41,8.2
1615745843466.261,46.56,22.28,8.59
1615745964456.609,48.43,23.82,9.19
1615746084703.47,43.51,23.47,6.59
1615746204623.42,35.92,23.9,7.99
1615746323346.048,38.81,23.48,8.85
1615746444824.7,35.29,22.95,5.13
1615746563753.463,36.53,23.68,8.45
1615746683028.622,39.33,21.23,9.28
1615746803679.915,35.77,23.32,8.61
1615746923386.795,40.79,20.27,9.38
1615747043565.94,38.89,23.89,8.58
1615747167153.334,41.06,13.84,4.94
1615747293524.837,34.74,21.35,5.34
1615747403378.154,35.23,17.22,9.08
1615747525199.255,47.78,23.79,8.73
1615747645310.764,46.43,23.41,7.5
1615747763064.199,43.3,24.98,8.78
1615747883317.414,39.66,24.74,9.02
1615748004143.484,44.01,20.59,6.97
1615748125472.395,46.22,22.42,6.44
1615748244533.268,44.96,23.6,7.61
1615748368784.89,48.34,18.79,6.14
1615748484807.529,44.32,21.34,6.72
1615748605371.746,39.8,26.0,8.59
1615748724085.893,44.38,16.16,5.65
1615748845551.156,37.14,22.56,8.67
1615748963249.888,41.1,20.34,9.25
1615749083929.676,46.04,23.6,6.51
1615749205259.699,53.9,16.22,8.86
1615749323552.108,48.11,23.67,8.25
1615749445998.077,40.25,23.13,8.54
1615749563487.246,47.56,25.11,9.14
1615749683422.778,40.17,20.15,9.3
1615749806000.934,49.38,18.88,8.05
1615749923573.025,39.49,19.26,8.01
1615750043980.216,42.39,21.92,8.65
1615750163524.939,39.65,22.97,9.14
1615750289282.0,37.16,13.16,9.26
1615750404780.161,36.43,24.21,6.43
1615750524666.076,45.84,18.2,9.02
1615750645764.839,38.78,21.29,9.38
1615750763208.136,40.25,25.17,8.29
1615750884487.411,38.38,17.19,8.79
1615751003257.932,38.98,23.45,9.36
1615751125147.448,40.9,18.35,9.26
1615751243709.518,39.88,18.01,8.82
1615751374260.64,52.79,11.24,4.1
1615751486721.08,43.15,21.69,8.68
1615751603264.772,39.45,20.54,8.8
1615751725186.511,39.12,24.66,8.38
1615751843696.067,39.83,18.99,9.27
1615751963766.054,39.31,21.01,9.03
1615752083287.455,38.59,23.2,7.54
1615752203703.653,42.68,24.73,7.89
1615752328192.348,35.21,18.85,8.16
1615752444980.173,46.3,19.47,8.84
1615752563663.075,38.17,23.32,9.09
1615752693670.072,43.72,19.01,4.31
1615752803733.843,36.65,21.33,8.07
1615752923760.072,40.37,20.74,8.88
1615753044231.802,38.88,22.14,7.56
1615753169929.346,36.15,19.62,5.9
1615753283923.397,41.78,21.81,7.52
1615753405255.99,41.4,24.38,8.62
1615753523506.184,39.63,25.22,8.68
1615753646212.822,35.9,21.79,8.56
1615753765611.749,46.79,23.48,9.01
1615753883208.35,37.62,22.11,8.76
1615754003459.943,38.33,21.87,9.14
1615754124831.728,40.53,20.23,9.0
1615754243449.744,35.88,17.52,9.29
1615754364615.313,42.57,24.42,8.19
1615754486997.989,39.58,23.44,5.11
1615754603115.612,38.12,20.95,6.48
1615754724075.906,37.83,23.72,8.4
1615754843780.922,44.13,23.94,9.16
1615754963913.667,40.44,18.36,8.3
1615755083359.158,36.61,22.54,9.48
1615755203467.884,45.31,25.93,7.96
1615755323820.817,39.81,24.0,7.87
1615755450705.846,37.08,22.0,5.44
1615755563983.487,42.23,25.87,8.79
1615755683691.797,37.83,23.86,9.0
1615755803474.141,46.1,22.46,9.44
1615755923703.227,38.09,19.86,8.92
1615756047392.924,43.63,23.53,6.24
1615756163196.201,37.12,22.92,8.72
1615756283484.956,35.3,26.38,8.46
1615756403652.419,37.41,23.5,8.05
1615756523769.878,39.37,26.18,8.18
1615756643588.417,42.59,23.63,7.56
1615756763334.541,39.71,26.04,8.96
1615756884075.64,33.59,22.25,8.36
1615757003235.171,36.87,25.12,9.0
1615757123947.903,38.71,24.08,8.04
1615757247278.178,37.75,24.67,6.57
1615757366811.003,37.27,22.29,6.64
1615757484447.323,41.64,23.93,8.37
1615757603450.97,38.28,25.18,8.58
1615757724484.654,37.58,20.8,8.46
1615757845046.859,36.97,25.65,7.04
1615757963433.496,41.76,23.66,8.92
1615758083668.164,42.39,21.66,8.67
1615758209593.132,37.73,14.85,9.39
1615758323630.687,36.36,23.5,9.35
1615758444520.958,39.86,24.73,9.2
1615758563830.196,36.38,18.58,8.89
1615758683896.193,36.72,23.45,9.28
1615758803511.785,39.52,23.51,9.45
1615758923485.686,38.34,20.92,8.39
1615759043858.376,40.3,20.53,9.0
1615759163848.392,41.78,15.98,9.28
1615759283775.418,34.98,19.62,9.28
1615759403958.919,41.58,24.06,8.28
1615759523865.521,37.42,20.09,9.43
1615759644228.618,40.42,16.28,8.78
1615759764342.543,39.87,23.82,8.17
1615759883479.005,35.67,23.14,8.94
1615760003512.846,36.96,23.2,8.61
1615760123718.765,37.91,22.57,9.4
1615760243982.467,49.14,24.35,8.82
1615760363521.176,36.87,24.63,9.28
1615760484304.253,35.19,21.42,8.69
1615760603690.075,38.02,24.12,9.16
1615760723533.683,38.35,23.65,9.13
1615760843947.803,39.04,24.62,9.06
1615760963918.786,49.39,25.27,8.68
1615761083540.143,44.38,22.76,8.55
1615761208195.429,49.64,24.66,5.21
1615761323567.31,46.73,25.23,8.91
